year,#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
2022-23,195,Troy Brown Jr.,LAL,76,24.5,7.1,2.6,6.1,43.0,1.4,3.7,38.1,0.4,0.5,87.2,0.8,3.2,4.1,1.3,0.8,0.2,0.6, 9.2
2022-23,196,Kendrick Nunn,WAS,70,13.8,7.1,2.7,6.4,42.4,1.1,3.2,35.4,0.5,0.6,85.4,0.2,1.3,1.6,1.3,0.4,0.1,0.9, 5.7
2022-23,197,Kevon Looney,GSW,82,23.9,7.0,3.0,4.7,63.0,0.0,0.0,0.0,1.1,1.9,60.6,3.3,5.9,9.3,2.5,0.6,0.6,0.5, 17.1
2022-23,198,Xavier Tillman,MEM,61,19.3,7.0,3.1,5.0,61.4,0.1,0.2,26.7,0.8,1.5,55.1,2.0,3.0,5.0,1.6,1.0,0.5,0.7, 11.8
2022-23,199,Cory Joseph,DET,62,19.8,6.9,2.4,5.7,42.7,1.1,2.9,38.9,0.9,1.2,79.2,0.3,1.4,1.7,3.5,0.5,0.1,0.9, 8.4
2022-23,200,Aaron Wiggins,OKC,70,18.5,6.8,2.7,5.2,51.2,0.7,1.7,39.3,0.8,1.0,83.1,1.0,2.0,3.0,1.1,0.6,0.2,0.8, 8.3
2022-23,201,Larry Nance Jr.,NOP,65,21.2,6.8,2.9,4.7,61.0,0.2,0.6,33.3,0.8,1.2,69.6,1.6,3.8,5.4,1.8,0.9,0.6,0.6, 12.6
2022-23,202,Terence Davis,SAC,64,13.1,6.7,2.4,5.7,42.3,1.4,3.8,36.6,0.5,0.7,79.1,0.3,1.9,2.2,1.0,0.7,0.2,0.8, 6.6
2022-23,203,Anthony Lamb,GSW,62,19.3,6.7,2.4,5.1,47.1,1.2,3.2,36.7,0.7,1.0,76.7,0.9,2.6,3.5,1.5,0.5,0.3,0.9, 8.7
2022-23,204,Dwight Powell,DAL,76,19.2,6.7,2.6,3.5,73.2,0.0,0.1,0.0,1.5,2.2,66.7,2.0,2.2,4.1,0.9,0.6,0.3,0.9, 10.1
2022-23,205,David Roddy,MEM,70,18.0,6.7,2.6,6.0,42.9,0.9,3.0,30.7,0.6,0.9,63.1,0.7,2.0,2.8,0.8,0.4,0.3,0.8, 6.4
2022-23,206,Drew Eubanks,POR,78,20.3,6.6,2.7,4.3,64.1,0.1,0.2,38.9,1.1,1.6,66.4,1.7,3.7,5.4,1.3,0.5,1.3,0.9, 12.2
2022-23,207,Jock Landale,PHX,69,14.2,6.6,2.6,4.9,52.8,0.3,1.2,25.0,1.1,1.5,75.2,1.7,2.3,4.1,1.0,0.2,0.4,0.9, 8.8
2022-23,208,Kevin Knox II,POR,63,15.1,6.6,2.4,5.3,45.8,1.0,3.0,34.9,0.7,1.0,76.7,0.5,2.3,2.8,0.5,0.4,0.2,0.8, 6.6
2022-23,209,Jordan Goodwin,WAS,62,17.8,6.6,2.5,5.7,44.8,0.6,1.9,32.2,0.9,1.1,76.8,0.9,2.4,3.3,2.7,0.9,0.4,0.9, 9.6
2022-23,210,Isaac Okoro,CLE,76,21.8,6.4,2.3,4.7,49.4,0.8,2.3,36.3,1.0,1.4,75.7,0.7,1.8,2.5,1.1,0.7,0.4,0.6, 7.9
2022-23,211,Sam Hauser,BOS,80,16.1,6.4,2.3,5.0,45.5,1.8,4.2,41.8,0.2,0.2,70.6,0.4,2.1,2.6,0.9,0.4,0.3,0.4, 7.3
2022-23,212,Goran Dragic,MIL,58,15.0,6.3,2.4,5.8,42.1,0.9,2.5,35.9,0.5,0.8,68.9,0.3,1.1,1.4,2.6,0.2,0.1,1.1, 5.9
2022-23,213,Patrick Beverley,CHI,67,27.1,6.2,2.1,5.4,40.0,1.2,3.6,33.5,0.7,1.0,72.3,0.7,3.0,3.7,2.9,0.9,0.6,0.9, 9.9
2022-23,214,Nickeil Alexander-Walker,MIN,59,15.0,6.2,2.2,5.0,44.4,1.0,2.7,38.4,0.7,1.0,66.7,0.3,1.5,1.7,1.8,0.5,0.4,0.9, 6.5
2022-23,215,Nicolas Batum,LAC,78,21.9,6.1,2.1,4.9,42.0,1.6,4.1,39.1,0.4,0.6,70.8,0.8,3.0,3.8,1.6,0.7,0.6,0.6, 9.1
2022-23,216,Oshae Brissett,IND,65,16.7,6.1,1.9,4.9,38.6,0.7,2.4,31.0,1.6,2.2,71.7,1.0,2.4,3.4,0.7,0.5,0.2,0.5, 6.7
2022-23,217,Mike Muscala,BOS,63,15.0,6.1,2.1,4.6,44.9,1.3,3.3,39.1,0.6,0.8,76.9,0.6,2.6,3.2,0.8,0.2,0.4,0.4, 7.6
2022-23,218,Andre Drummond,CHI,67,12.7,6.0,2.5,4.1,60.6,0.0,0.0,0.0,1.0,1.9,53.6,2.1,4.6,6.6,0.5,0.7,0.4,1.1, 10.6
2022-23,219,Josh Christopher,HOU,64,12.3,5.8,2.4,5.1,46.5,0.3,1.4,23.6,0.7,0.9,75.0,0.3,0.8,1.1,1.1,0.5,0.2,0.9, 4.9
2022-23,220,Jalen Johnson,ATL,70,14.9,5.6,2.3,4.6,49.1,0.4,1.5,28.8,0.7,1.1,62.8,0.7,3.3,4.0,1.2,0.5,0.5,0.6, 8.5
2022-23,221,Davion Mitchell,SAC,80,18.1,5.6,2.3,5.0,45.4,0.8,2.5,32.0,0.3,0.4,80.6,0.2,1.1,1.3,2.3,0.6,0.2,0.8, 6.4
